Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FEDERALBNK-I.NFO,07/01/2020,09:15:05,88.25,88.15,7000,88.3,14000,35000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:05,88.25,88.15,7000,88.3,14000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:05,88.3,88.15,7000,88.3,14000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:05,88.25,88.15,7000,88.3,14000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:14,88.35,88.2,7000,88.3,7000,84000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:14,88.35,88.2,7000,88.3,7000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:14,88.15,88.2,7000,88.3,7000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:26,88.55,88.45,7000,88.55,7000,203000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:26,88.6,88.45,7000,88.55,7000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:38,88.55,88.45,21000,88.6,14000,42000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:50,89.05,88.9,14000,89.1,7000,476000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:15:50,89.2,88.9,14000,89.1,7000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:02,89.05,89.05,7000,89.1,7000,77000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:02,89.25,89.05,7000,89.1,7000,0,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:12,89.15,89.1,21000,89.2,7000,98000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:22,88.95,88.95,7000,89,14000,84000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:31,89,88.95,14000,89.05,7000,70000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:40,89.05,88.95,14000,89.05,7000,42000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:49,88.95,88.95,7000,89,7000,49000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:16:58,89.05,89,14000,89.1,21000,70000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:17:06,89.15,89.1,14000,89.15,7000,56000,56105000
FEDERALBNK-I.NFO,07/01/2020,09:17:14,89.3,89.2,7000,89.3,28000,126000,56476000
FEDERALBNK-I.NFO,07/01/2020,09:17:14,89.3,89.2,7000,89.3,28000,0,56476000
FEDERALBNK-I.NFO,07/01/2020,09:17:23,89.25,89.25,7000,89.3,28000,7000,56476000
FEDERALBNK-I.NFO,07/01/2020,09:17:32,89.2,89.1,14000,89.15,7000,14000,56476000
FEDERALBNK-I.NFO,07/01/2020,09:17:41,89.1,89.05,14000,89.15,7000,28000,56476000
