Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NCC-I.NFO,07/01/2020,09:15:04,55.85,56.05,9000,56.15,18000,27000,42210000
NCC-I.NFO,07/01/2020,09:15:04,55.95,56.05,9000,56.15,18000,0,42210000
NCC-I.NFO,07/01/2020,09:15:04,55.95,56.05,9000,56.15,18000,0,42210000
NCC-I.NFO,07/01/2020,09:15:04,55.85,56.05,9000,56.15,18000,0,42210000
NCC-I.NFO,07/01/2020,09:15:13,56,55.9,9000,56.1,9000,54000,42210000
NCC-I.NFO,07/01/2020,09:15:13,56.15,55.9,9000,56.1,9000,0,42210000
NCC-I.NFO,07/01/2020,09:15:24,56.2,56.25,9000,56.3,9000,45000,42210000
NCC-I.NFO,07/01/2020,09:15:24,56.2,56.25,9000,56.3,9000,0,42210000
NCC-I.NFO,07/01/2020,09:15:36,56.35,56.35,18000,56.5,9000,54000,42210000
NCC-I.NFO,07/01/2020,09:15:36,56.45,56.35,18000,56.5,9000,0,42210000
NCC-I.NFO,07/01/2020,09:15:48,56.45,56.4,18000,56.6,18000,153000,42210000
NCC-I.NFO,07/01/2020,09:15:48,56.5,56.4,18000,56.6,18000,0,42210000
NCC-I.NFO,07/01/2020,09:16:00,56.5,56.5,27000,56.7,18000,72000,42210000
NCC-I.NFO,07/01/2020,09:16:00,56.65,56.5,27000,56.7,18000,0,42210000
NCC-I.NFO,07/01/2020,09:16:12,56.55,56.5,36000,56.65,9000,27000,42210000
NCC-I.NFO,07/01/2020,09:16:12,56.7,56.5,36000,56.65,9000,0,42210000
NCC-I.NFO,07/01/2020,09:16:24,56.45,56.4,9000,56.55,45000,36000,42210000
NCC-I.NFO,07/01/2020,09:16:34,56.5,56.5,9000,56.6,18000,63000,42210000
NCC-I.NFO,07/01/2020,09:16:43,56.55,56.5,9000,56.55,9000,63000,42210000
NCC-I.NFO,07/01/2020,09:16:53,56.6,56.5,18000,56.6,9000,18000,42210000
NCC-I.NFO,07/01/2020,09:17:03,56.5,56.5,18000,56.6,9000,36000,42210000
NCC-I.NFO,07/01/2020,09:17:12,56.55,56.55,9000,56.65,18000,9000,42210000
NCC-I.NFO,07/01/2020,09:17:22,56.55,56.6,9000,56.7,27000,0,42210000
NCC-I.NFO,07/01/2020,09:17:32,56.65,56.55,18000,56.65,9000,18000,42174000
NCC-I.NFO,07/01/2020,09:17:43,56.55,56.5,18000,56.55,9000,54000,42174000
NCC-I.NFO,07/01/2020,09:17:53,56.55,56.55,18000,56.65,18000,9000,42174000
NCC-I.NFO,07/01/2020,09:18:03,56.6,56.6,9000,56.7,27000,18000,42174000
NCC-I.NFO,07/01/2020,09:18:13,56.55,56.55,18000,56.65,27000,36000,42174000
NCC-I.NFO,07/01/2020,09:18:21,56.65,56.6,27000,56.7,9000,72000,42174000
NCC-I.NFO,07/01/2020,09:18:21,56.75,56.6,27000,56.7,9000,0,42174000
NCC-I.NFO,07/01/2020,09:18:30,56.65,56.65,27000,56.7,9000,18000,42174000
NCC-I.NFO,07/01/2020,09:18:39,56.7,56.6,9000,56.7,45000,63000,42174000
NCC-I.NFO,07/01/2020,09:18:48,56.6,56.6,27000,56.7,27000,36000,42174000
NCC-I.NFO,07/01/2020,09:18:57,56.6,56.55,54000,56.65,9000,90000,42174000
NCC-I.NFO,07/01/2020,09:19:06,56.55,56.5,63000,56.6,18000,45000,42174000
NCC-I.NFO,07/01/2020,09:19:15,56.55,56.55,9000,56.6,18000,0,42174000
NCC-I.NFO,07/01/2020,09:19:23,56.7,56.65,18000,56.75,9000,99000,42174000
NCC-I.NFO,07/01/2020,09:19:32,56.6,56.65,9000,56.7,9000,36000,42174000
NCC-I.NFO,07/01/2020,09:19:40,56.65,56.6,27000,56.7,54000,9000,42174000
NCC-I.NFO,07/01/2020,09:19:48,56.6,56.65,18000,56.7,36000,36000,42174000
NCC-I.NFO,07/01/2020,09:19:56,56.8,56.7,63000,56.8,27000,81000,42174000
