Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NMDC-I.NFO,07/01/2020,09:15:00,130.5,128.4,6000,130.5,6000,6000,24288000
NMDC-I.NFO,07/01/2020,09:15:00,130.5,128.4,6000,130.5,6000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:00,130.5,128.4,6000,130.5,6000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:00,130.5,128.4,6000,130.5,6000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:04,130.15,130.1,6000,130.85,12000,18000,24288000
NMDC-I.NFO,07/01/2020,09:15:04,130.15,130.1,6000,130.85,12000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:13,130.15,130.1,6000,130.85,18000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:24,131,130.9,6000,131.3,12000,36000,24288000
NMDC-I.NFO,07/01/2020,09:15:24,131,130.9,6000,131.3,12000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:36,131.05,131,12000,131.2,6000,36000,24288000
NMDC-I.NFO,07/01/2020,09:15:36,131.25,131,12000,131.2,6000,0,24288000
NMDC-I.NFO,07/01/2020,09:15:48,131,130.85,6000,131,6000,24000,24288000
NMDC-I.NFO,07/01/2020,09:16:00,130.8,130.7,6000,130.85,6000,12000,24288000
NMDC-I.NFO,07/01/2020,09:16:12,130.85,130.8,24000,131,18000,18000,24288000
NMDC-I.NFO,07/01/2020,09:16:24,130.85,130.8,24000,131,18000,0,24288000
NMDC-I.NFO,07/01/2020,09:16:34,130.85,130.9,6000,131,18000,0,24288000
NMDC-I.NFO,07/01/2020,09:16:53,131.05,130.95,6000,131.1,6000,24000,24288000
NMDC-I.NFO,07/01/2020,09:17:03,130.75,130.65,12000,130.85,12000,42000,24288000
NMDC-I.NFO,07/01/2020,09:17:12,130.2,130.15,6000,130.3,6000,66000,24288000
NMDC-I.NFO,07/01/2020,09:17:12,130.1,130.15,6000,130.3,6000,0,24288000
NMDC-I.NFO,07/01/2020,09:17:22,130,129.8,18000,129.95,6000,78000,24444000
NMDC-I.NFO,07/01/2020,09:17:22,130,129.8,18000,129.95,6000,0,24444000
NMDC-I.NFO,07/01/2020,09:17:32,129.3,129.3,6000,129.45,30000,432000,24444000
NMDC-I.NFO,07/01/2020,09:17:32,129.3,129.3,6000,129.45,30000,0,24444000
NMDC-I.NFO,07/01/2020,09:17:43,129.25,129.1,6000,129.25,42000,6000,24444000
NMDC-I.NFO,07/01/2020,09:17:43,129.25,129.1,6000,129.25,42000,0,24444000
NMDC-I.NFO,07/01/2020,09:17:53,129.55,129.55,12000,129.7,6000,138000,24444000
NMDC-I.NFO,07/01/2020,09:18:03,129.75,129.7,6000,129.9,6000,54000,24444000
NMDC-I.NFO,07/01/2020,09:18:13,129.8,129.75,18000,129.95,18000,24000,24444000
NMDC-I.NFO,07/01/2020,09:18:21,129.9,129.8,6000,129.9,6000,12000,24444000
NMDC-I.NFO,07/01/2020,09:18:30,129.8,129.75,12000,129.85,12000,6000,24444000
NMDC-I.NFO,07/01/2020,09:18:39,129.55,129.5,12000,129.65,6000,36000,24444000
NMDC-I.NFO,07/01/2020,09:18:48,129.8,129.75,12000,129.85,6000,30000,24444000
NMDC-I.NFO,07/01/2020,09:18:57,129.85,129.85,6000,129.95,12000,24000,24444000
NMDC-I.NFO,07/01/2020,09:19:06,129.9,129.85,12000,130,6000,6000,24444000
NMDC-I.NFO,07/01/2020,09:19:15,129.9,129.9,6000,130,12000,0,24444000
NMDC-I.NFO,07/01/2020,09:19:23,130,130.05,12000,130.15,6000,18000,24444000
NMDC-I.NFO,07/01/2020,09:19:32,130.05,129.95,12000,130.05,6000,6000,24444000
NMDC-I.NFO,07/01/2020,09:19:40,130.05,129.9,6000,130.05,6000,6000,24444000
NMDC-I.NFO,07/01/2020,09:19:48,130.05,130.05,18000,130.15,6000,0,24444000
NMDC-I.NFO,07/01/2020,09:19:56,130.05,130.1,6000,130.2,6000,0,24444000
NMDC-I.NFO,07/01/2020,09:20:04,130.05,130.1,12000,130.2,12000,0,24444000
NMDC-I.NFO,07/01/2020,09:20:12,130.05,130.05,30000,130.15,18000,0,24444000
NMDC-I.NFO,07/01/2020,09:20:20,130.25,130.2,6000,130.35,6000,30000,24840000
NMDC-I.NFO,07/01/2020,09:20:27,130.25,130.2,6000,130.35,6000,0,24840000
NMDC-I.NFO,07/01/2020,09:20:35,130.25,130.15,6000,130.25,6000,0,24840000
NMDC-I.NFO,07/01/2020,09:20:42,130.25,130.2,24000,130.35,6000,0,24840000
NMDC-I.NFO,07/01/2020,09:20:50,130.4,130.25,30000,130.45,18000,18000,24840000
NMDC-I.NFO,07/01/2020,09:20:57,130.45,130.45,6000,130.5,6000,18000,24840000
NMDC-I.NFO,07/01/2020,09:21:06,130.35,130.3,6000,130.4,6000,24000,24840000
NMDC-I.NFO,07/01/2020,09:21:14,130.35,130.3,6000,130.4,6000,0,24840000
NMDC-I.NFO,07/01/2020,09:21:22,130.4,130.4,12000,130.5,12000,6000,24840000
NMDC-I.NFO,07/01/2020,09:21:29,130.4,130.3,24000,130.4,18000,12000,24840000
NMDC-I.NFO,07/01/2020,09:21:37,130.35,130.25,6000,130.35,12000,24000,24840000
NMDC-I.NFO,07/01/2020,09:21:45,130.25,130.25,6000,130.35,18000,6000,24840000
NMDC-I.NFO,07/01/2020,09:21:53,130.25,130.25,6000,130.35,18000,6000,24840000
NMDC-I.NFO,07/01/2020,09:22:01,130.25,130.25,6000,130.35,18000,0,24840000
NMDC-I.NFO,07/01/2020,09:22:09,130.3,130.25,6000,130.35,6000,12000,24840000
NMDC-I.NFO,07/01/2020,09:22:17,130.35,130.2,18000,130.4,18000,6000,24840000
NMDC-I.NFO,07/01/2020,09:22:25,130.35,130.2,12000,130.4,12000,0,24840000
NMDC-I.NFO,07/01/2020,09:22:32,130.25,130.15,6000,130.25,6000,12000,24840000
NMDC-I.NFO,07/01/2020,09:22:39,130.25,130.2,12000,130.35,6000,6000,24840000
NMDC-I.NFO,07/01/2020,09:22:46,130.25,130.15,6000,130.25,12000,0,24840000
NMDC-I.NFO,07/01/2020,09:22:53,130.25,130.15,6000,130.25,12000,6000,24840000
NMDC-I.NFO,07/01/2020,09:23:01,130.25,130.2,12000,130.3,6000,18000,24840000
NMDC-I.NFO,07/01/2020,09:23:08,130.3,130.3,6000,130.4,12000,6000,24840000
NMDC-I.NFO,07/01/2020,09:23:16,130.4,130.35,12000,130.45,18000,18000,24870000
NMDC-I.NFO,07/01/2020,09:23:23,130.5,130.4,6000,130.5,6000,18000,24870000
NMDC-I.NFO,07/01/2020,09:23:29,130.5,130.45,12000,130.55,6000,6000,24870000
NMDC-I.NFO,07/01/2020,09:23:35,130.55,130.5,18000,130.6,6000,12000,24870000
NMDC-I.NFO,07/01/2020,09:23:41,130.55,130.4,12000,130.55,6000,54000,24870000
NMDC-I.NFO,07/01/2020,09:23:48,130.55,130.4,6000,130.55,6000,0,24870000
NMDC-I.NFO,07/01/2020,09:23:54,130.55,130.4,12000,130.55,6000,6000,24870000
NMDC-I.NFO,07/01/2020,09:24:01,130.55,130.4,12000,130.5,6000,0,24870000
NMDC-I.NFO,07/01/2020,09:24:08,130.4,130.4,6000,130.5,6000,6000,24870000
NMDC-I.NFO,07/01/2020,09:24:15,130.4,130.4,6000,130.5,6000,0,24870000
