Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
MINDTREE-II.NFO,07/01/2020,09:43:52,822.65,822.55,800,824.85,1600,1600,66400
MINDTREE-II.NFO,07/01/2020,09:43:52,822.65,822.55,800,824.85,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:43:52,822.65,822.55,800,824.85,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:43:52,822.65,822.55,800,824.85,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:43:56,822.65,822.55,800,824.85,2400,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:01,822.65,822.65,800,825.15,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:07,822.65,822.65,800,825.35,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:12,822.65,822.65,800,825.2,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:23,822.65,822.75,800,825.35,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:28,822.65,822.85,800,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:34,822.65,822.1,800,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:39,822.65,822.4,800,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:44,822.65,822.5,800,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:53,822.65,822.6,1600,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:44:59,822.65,822.9,800,825.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:04,822.65,822.9,800,825.15,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:11,822.65,822.9,800,825.05,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:17,822.65,822.9,800,825.35,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:23,822.65,823.1,800,825.35,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:30,822.65,822.7,800,825.35,1600,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:42,822.65,821.7,800,823.95,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:47,822.65,821.3,1600,824.25,800,0,66400
MINDTREE-II.NFO,07/01/2020,09:45:53,822.65,821.25,1600,824,800,0,66400
