Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
HINDALCO-III.NFO,07/01/2020,10:42:52,215.25,213.55,21000,215.45,14000,3500,24500
HINDALCO-III.NFO,07/01/2020,10:42:52,215.25,213.55,21000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:52,215.25,213.55,21000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:52,215.25,213.55,21000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:54,215.25,213.85,21000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:56,215.25,214.05,21000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:57,215.25,214.25,17500,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:42:59,215.25,214.35,17500,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:00,215.25,214.55,14000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:02,215.25,214.75,7000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:05,215.25,214.8,7000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:17,215.25,214.8,3500,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:36,215.25,214.8,3500,215.15,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:52,215.25,214.65,7000,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:56,215.25,214.7,3500,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:43:59,215.25,214.7,7000,215.15,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:44:21,215.25,214.7,3500,215.15,10500,0,24500
HINDALCO-III.NFO,07/01/2020,10:44:36,215.25,214.7,7000,215.15,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:44:40,215.25,214.7,3500,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:00,215.25,214.7,3500,215.05,10500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:05,215.25,214.7,3500,215.05,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:13,215.25,214.7,3500,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:20,215.25,214.7,3500,215.05,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:26,215.25,214.7,3500,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:32,215.25,214.7,7000,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:34,215.25,214.7,3500,215.1,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:36,215.25,214.7,3500,215.15,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:45:47,215.25,214.7,10500,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:00,215.25,214.7,10500,216.45,17500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:03,215.25,214.7,10500,216.15,21000,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:06,215.25,214.7,10500,215.85,21000,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:08,215.25,214.7,10500,215.65,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:10,215.25,214.7,10500,215.35,10500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:13,215.25,214.7,10500,215.25,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:21,215.25,214.7,10500,215.3,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:27,215.25,214.7,10500,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:43,215.25,214.7,7000,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:46,215.25,214.7,7000,215.15,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:46:49,215.25,214.7,3500,215.15,10500,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:10,215.25,214.7,3500,216.35,21000,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:13,215.25,214.7,3500,216.05,21000,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:18,215.25,214.7,7000,215.55,10500,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:23,215.25,214.7,7000,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:34,215.25,214.7,10500,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:47,215.25,214.8,3500,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:47:54,215.25,214.8,7000,215.2,3500,0,24500
HINDALCO-III.NFO,07/01/2020,10:48:01,215.25,214.9,7000,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:48:09,215.25,214.9,10500,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:48:13,215.25,214.9,3500,215.45,14000,0,24500
HINDALCO-III.NFO,07/01/2020,10:48:20,215.25,215,3500,215.45,14000,0,24500
