Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
PFC-III.NFO,07/01/2020,09:15:24,117,115.9,18600,117.25,6200,6200,74400
PFC-III.NFO,07/01/2020,09:15:24,117,115.9,18600,117.25,6200,0,74400
PFC-III.NFO,07/01/2020,09:15:24,117,115.9,18600,117.25,6200,0,74400
PFC-III.NFO,07/01/2020,09:15:24,117,115.9,18600,117.25,6200,0,74400
PFC-III.NFO,07/01/2020,09:15:36,117,114.7,6200,116.15,37200,0,74400
PFC-III.NFO,07/01/2020,09:15:47,117,114.25,24800,115.8,12400,0,74400
PFC-III.NFO,07/01/2020,09:16:00,117,114.25,12400,115.65,12400,0,74400
PFC-III.NFO,07/01/2020,09:16:12,117,114.55,18600,115.65,18600,0,74400
PFC-III.NFO,07/01/2020,09:16:23,117,114.45,6200,115.65,12400,0,74400
PFC-III.NFO,07/01/2020,09:16:33,117,114.45,6200,115.55,12400,0,74400
PFC-III.NFO,07/01/2020,09:16:43,117,113.7,24800,114.95,6200,0,74400
PFC-III.NFO,07/01/2020,09:16:53,117,113.7,24800,115.1,6200,0,74400
PFC-III.NFO,07/01/2020,09:17:03,117,113.7,24800,115.45,24800,0,74400
PFC-III.NFO,07/01/2020,09:17:43,117,113.7,24800,115.05,12400,0,74400
PFC-III.NFO,07/01/2020,09:17:53,117,113.7,6200,114.65,6200,0,74400
PFC-III.NFO,07/01/2020,09:18:03,117,113.7,24800,114.65,6200,0,74400
PFC-III.NFO,07/01/2020,09:18:12,117,113.7,24800,114.7,6200,0,74400
PFC-III.NFO,07/01/2020,09:18:21,117,113.9,6200,114.7,6200,0,74400
PFC-III.NFO,07/01/2020,09:18:30,117,113.9,6200,114.75,6200,0,74400
PFC-III.NFO,07/01/2020,09:18:39,117,113.8,6200,114.75,12400,0,74400
PFC-III.NFO,07/01/2020,09:18:57,117,113.65,6200,114.65,18600,0,74400
PFC-III.NFO,07/01/2020,09:19:06,117,113.45,18600,114.65,18600,0,74400
PFC-III.NFO,07/01/2020,09:19:23,117,113.45,18600,114.65,12400,0,74400
PFC-III.NFO,07/01/2020,09:19:31,117,113.45,18600,114.65,6200,0,74400
PFC-III.NFO,07/01/2020,09:19:40,117,113.45,18600,114.65,12400,0,74400
PFC-III.NFO,07/01/2020,09:20:04,117,113.45,18600,114.6,6200,0,74400
PFC-III.NFO,07/01/2020,09:20:19,117,113.45,18600,114.8,12400,0,74400
PFC-III.NFO,07/01/2020,09:20:27,117,113.45,18600,114.8,18600,0,74400
PFC-III.NFO,07/01/2020,09:20:34,117,113.45,18600,114.8,12400,0,74400
PFC-III.NFO,07/01/2020,09:21:05,117,113.45,24800,114.9,6200,0,74400
PFC-III.NFO,07/01/2020,09:21:53,117,113.45,24800,114.8,6200,0,74400
PFC-III.NFO,07/01/2020,09:22:39,117,113.45,24800,114.75,6200,0,74400
PFC-III.NFO,07/01/2020,09:22:46,117,113.45,24800,114.8,6200,0,74400
PFC-III.NFO,07/01/2020,09:22:53,117,113.45,31000,115.1,18600,0,74400
PFC-III.NFO,07/01/2020,09:23:00,117,113.45,31000,115.1,12400,0,74400
PFC-III.NFO,07/01/2020,09:23:08,117,113.45,31000,115.1,6200,0,74400
PFC-III.NFO,07/01/2020,09:23:41,117,113.45,31000,115.1,12400,0,74400
