Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BEL30JAN20100CE.NFO,07/01/2020,09:15:41,3.25,3.15,24000,3.3,6000,6000,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:15:41,3.25,3.15,24000,3.3,6000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:15:41,3.25,3.15,24000,3.3,6000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:15:41,3.25,3.15,24000,3.3,6000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:15:54,3.3,3.15,24000,3.35,6000,6000,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:15:54,3.3,3.15,24000,3.35,6000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:05,3.3,3.2,6000,3.35,12000,6000,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:15,3.3,3.2,18000,3.3,24000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:34,3.3,3.1,24000,3.3,30000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:44,3.3,3.15,18000,3.3,30000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:53,3.15,3.15,12000,3.3,30000,12000,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:16:53,3.15,3.15,12000,3.3,30000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:17:01,3.15,3.15,12000,3.25,6000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:17:09,3.15,3.2,12000,3.3,30000,0,1038000
BEL30JAN20100CE.NFO,07/01/2020,09:17:18,3.4,3.3,18000,3.4,12000,42000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:18,3.4,3.3,18000,3.4,12000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:26,3.4,3.35,12000,3.45,6000,18000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:35,3.4,3.25,12000,3.45,12000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:44,3.4,3.35,18000,3.45,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:53,3.45,3.45,18000,3.55,24000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:17:53,3.45,3.45,18000,3.55,24000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:01,3.55,3.45,12000,3.55,18000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:01,3.55,3.45,12000,3.55,18000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:08,3.55,3.4,18000,3.5,12000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:16,3.45,3.45,6000,3.5,12000,18000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:24,3.45,3.4,6000,3.45,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:40,3.45,3.35,6000,3.45,12000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:47,3.4,3.35,6000,3.45,6000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:18:54,3.4,3.3,18000,3.4,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:17,3.4,3.35,6000,3.45,6000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:25,3.4,3.35,12000,3.45,12000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:33,3.4,3.35,6000,3.45,12000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:41,3.4,3.3,6000,3.45,24000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:49,3.3,3.25,6000,3.4,24000,6000,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:19:57,3.3,3.2,12000,3.3,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:20:05,3.3,3.2,6000,3.3,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:20:20,3.3,3.2,18000,3.3,6000,0,1026000
BEL30JAN20100CE.NFO,07/01/2020,09:20:28,3.3,3.2,6000,3.3,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:20:36,3.3,3.25,12000,3.4,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:20:43,3.25,3.2,18000,3.25,6000,18000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:20:51,3.25,3.2,18000,3.35,24000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:20:59,3.25,3.2,18000,3.35,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:06,3.25,3.15,6000,3.3,24000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:14,3.25,3.15,6000,3.25,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:22,3.25,3.15,18000,3.25,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:29,3.25,3.15,6000,3.25,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:36,3.25,3.15,12000,3.25,18000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:43,3.25,3.15,6000,3.25,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:51,3.15,3.1,24000,3.25,6000,12000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:21:57,3.15,3.1,18000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:04,3.15,3.15,18000,3.25,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:11,3.15,3.15,24000,3.25,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:19,3.15,3.1,18000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:26,3.15,3.15,6000,3.25,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:33,3.15,3.1,12000,3.2,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:40,3.15,3.1,12000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:53,3.15,3.1,6000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:22:59,3.15,3.1,18000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:23:19,3.15,3.1,12000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:23:26,3.15,3.1,18000,3.2,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:23:45,3.15,3.1,12000,3.2,18000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:23:52,3.2,3.1,24000,3.2,12000,6000,978000
BEL30JAN20100CE.NFO,07/01/2020,09:23:59,3.2,3.1,12000,3.2,12000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:06,3.2,3.1,12000,3.2,18000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:13,3.1,3.05,6000,3.15,12000,6000,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:13,3.1,3.05,6000,3.15,12000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:20,3.1,3.05,24000,3.15,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:27,3.05,3,12000,3.1,24000,6000,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:27,3.05,3,12000,3.1,24000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:34,3.05,3,18000,3.05,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:41,3.05,3,18000,3.1,30000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:47,3.05,3,18000,3.1,18000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:24:53,3.05,3,36000,3.1,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:06,3.05,3,42000,3.1,12000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:13,3.05,3,60000,3.1,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:21,3.05,3.05,6000,3.1,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:35,3.05,3,48000,3.1,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:42,3.05,3,66000,3.1,6000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:55,3.1,3,54000,3.15,24000,12000,978000
BEL30JAN20100CE.NFO,07/01/2020,09:25:55,3,3,54000,3.15,24000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:06,3.1,3.05,6000,3.15,24000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:13,3.1,3.05,6000,3.1,18000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:20,3.1,3,18000,3.1,18000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:25,3.1,3,18000,3.1,24000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:31,3.1,3,18000,3.1,30000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:44,3.1,3,24000,3.1,30000,0,978000
BEL30JAN20100CE.NFO,07/01/2020,09:26:50,3.05,3,12000,3.05,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:26:55,3.05,3,12000,3.1,30000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:26:59,3.05,3,12000,3.1,30000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:27:05,3.05,3.05,6000,3.1,24000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:27:15,3.05,3,12000,3.05,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:27:46,3.05,3,12000,3.05,6000,12000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:27:51,3.05,3,12000,3.05,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:06,2.9,2.85,6000,2.95,30000,48000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:06,2.9,2.85,6000,2.95,30000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:13,2.9,2.9,6000,2.95,18000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:36,2.9,2.9,6000,2.95,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:41,2.9,2.85,12000,2.95,12000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:47,2.95,2.9,18000,3,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:53,2.95,2.95,12000,3.05,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:28:59,3,2.95,6000,3.05,6000,6000,990000
BEL30JAN20100CE.NFO,07/01/2020,09:29:05,3,2.95,18000,3.05,6000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:29:17,3,3,12000,3.1,12000,0,990000
BEL30JAN20100CE.NFO,07/01/2020,09:29:41,3,2.95,18000,3.05,6000,0,990000
