Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:05,7.65,6.3,1851,7.6,1851,1851,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:05,7.65,6.3,1851,7.6,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:05,7.65,6.3,1851,7.6,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:05,7.65,6.3,1851,7.6,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:16,7.65,6.3,1851,7.5,5553,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:25,7.65,6.6,7404,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:35,7.65,6.6,1851,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:44,7.65,6.5,7404,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:16:53,7.65,6.45,1851,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:17:01,7.65,6.4,7404,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:02,7.65,6.35,1851,7.05,7404,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:18,7.65,6.2,7404,6.6,9255,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:34,6.6,6.2,7404,6.6,9255,1851,112911
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:34,6.6,6.2,7404,6.6,9255,0,112911
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:41,6.6,6.2,7404,6.6,9255,1851,112911
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:19:49,6.6,6.2,7404,6.6,9255,0,112911
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:20:36,6.6,6.4,7404,6.6,3702,0,112911
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:20:44,6.55,6.4,9255,6.55,1851,1851,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:20:44,6.55,6.4,9255,6.55,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:20:51,6.55,6.4,9255,6.55,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:06,6.55,6.4,9255,6.6,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:14,6.55,6.35,1851,6.55,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:22,6.35,6.25,1851,6.35,1851,1851,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:22,6.35,6.25,1851,6.35,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:29,6.35,6.25,9255,6.45,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:36,6.35,6.25,11106,6.45,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:43,6.35,6.25,11106,6.45,5553,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:51,6.35,6.25,11106,6.45,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:21:57,6.35,6.25,11106,6.45,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:23:13,6.35,6.25,3702,6.45,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:23:32,6.35,6.25,3702,6.45,5553,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:24:06,6.35,6.25,11106,6.45,1851,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:24:13,6.35,6.25,11106,6.5,3702,0,111060
BHARTIARTL30JAN20435PE.NFO,07/01/2020,09:24:20,6.35,6.35,1851,6.5,3702,0,111060
