Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:10,29.75,28.5,200,55,100,100,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:10,29.75,28.5,200,55,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:10,29.75,28.5,200,55,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:10,29.75,28.5,200,55,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:19,29.75,26.7,100,55,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:29,29.75,25.65,100,53.6,300,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:39,29.75,23.45,100,47.05,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:15:49,29.75,34.65,100,43.5,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:00,29.75,38.45,200,41.3,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:11,36.9,36.4,100,41.05,100,500,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:11,38.45,36.4,100,41.05,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:22,36.9,35.9,200,40.75,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:33,36.9,36.85,200,38.45,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:44,36.9,37.55,100,39.8,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:16:54,36.9,36.55,200,37.6,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:05,36.9,35.45,200,36.9,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:15,36.9,33.7,200,35.4,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:24,36.9,33.65,100,34.9,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:34,36.9,34.45,200,36.65,100,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:43,36.9,33.25,200,37.45,200,0,16000
MARUTI30Jan206700PE.NFO,07/01/2020,09:17:53,35.25,33.85,200,35.3,100,200,16100
MARUTI30Jan206700PE.NFO,07/01/2020,09:18:02,35.25,34.5,100,35.75,300,0,16100
