Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:22,2.5,2.4,9000,2.5,9000,18000,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:22,2.5,2.4,9000,2.5,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:22,2.5,2.4,9000,2.5,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:22,2.5,2.4,9000,2.5,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:37,2.5,2.35,18000,2.5,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:45,2.5,2.35,18000,2.5,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:21:53,2.5,2.4,18000,2.5,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:22:09,2.5,2.4,18000,2.5,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:22:17,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:22:25,2.5,2.3,27000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:22:39,2.5,2.3,27000,2.45,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:22:53,2.5,2.3,27000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:23:27,2.5,2.3,36000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:23:42,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:23:48,2.5,2.3,18000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:23:51,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:08,2.5,2.3,18000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:15,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:22,2.5,2.3,27000,2.45,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:23,2.5,2.35,18000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:25,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:29,2.5,2.35,27000,2.5,72000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:35,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:43,2.5,2.4,9000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:24:44,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:14,2.5,2.3,27000,2.45,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:18,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:20,2.5,2.3,27000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:30,2.5,2.35,18000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:31,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:32,2.5,2.35,9000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:36,2.5,2.3,27000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:25:52,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:00,2.5,2.3,27000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:08,2.5,2.35,9000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:09,2.5,2.3,27000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:10,2.5,2.35,9000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:11,2.5,2.3,27000,2.45,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:15,2.5,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:18,2.5,2.3,27000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:31,2.5,2.35,18000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:26:32,2.5,2.35,27000,2.5,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:01,2.5,2.35,27000,2.5,63000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:03,2.5,2.35,18000,2.5,63000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:14,2.5,2.3,18000,2.45,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:35,2.5,2.3,18000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:37,2.5,2.3,18000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:27:50,2.5,2.3,18000,2.4,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:28:23,2.5,2.3,18000,2.35,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:28:29,2.5,2.3,27000,2.4,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:28:47,2.3,2.25,54000,2.35,9000,9000,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:28:47,2.3,2.25,54000,2.35,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:28:52,2.3,2.3,27000,2.4,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:17,2.3,2.3,27000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:23,2.3,2.3,27000,2.4,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:29,2.3,2.3,27000,2.4,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:35,2.3,2.3,27000,2.35,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:42,2.3,2.3,27000,2.4,36000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:48,2.3,2.3,9000,2.4,45000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:29:58,2.3,2.3,9000,2.35,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:30:03,2.3,2.3,9000,2.4,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:30:10,2.3,2.3,9000,2.4,36000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:30:15,2.3,2.3,9000,2.4,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:30:21,2.3,2.3,9000,2.4,36000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:30:32,2.3,2.3,9000,2.35,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:01,2.3,2.3,9000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:08,2.3,2.3,9000,2.4,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:14,2.3,2.3,9000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:28,2.3,2.3,9000,2.4,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:41,2.3,2.3,9000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:32:47,2.3,2.3,9000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:33:23,2.3,2.35,9000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:34:25,2.3,2.25,36000,2.4,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:34:38,2.3,2.3,9000,2.4,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:34:50,2.3,2.3,9000,2.4,36000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:34:55,2.3,2.25,18000,2.35,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:01,2.3,2.25,18000,2.35,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:06,2.3,2.25,18000,2.35,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:17,2.3,2.25,18000,2.35,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:23,2.3,2.25,18000,2.35,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:33,2.3,2.25,18000,2.3,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:41,2.3,2.25,18000,2.3,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:48,2.25,2.15,18000,2.25,36000,18000,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:48,2.25,2.15,18000,2.25,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:35:56,2.25,2.15,18000,2.3,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:36:03,2.25,2.2,9000,2.3,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:36:10,2.25,2.15,36000,2.3,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:36:16,2.25,2.2,9000,2.3,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:36:33,2.25,2.15,9000,2.3,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:36:44,2.25,2.2,9000,2.35,63000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:37:00,2.25,2.2,18000,2.35,63000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:37:06,2.25,2.2,18000,2.3,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:37:11,2.25,2.2,18000,2.3,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:37:56,2.25,2.2,18000,2.3,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:38:18,2.25,2.2,27000,2.3,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:38:39,2.25,2.2,27000,2.3,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:38:46,2.25,2.2,18000,2.3,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:38:47,2.25,2.2,27000,2.3,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:39:16,2.25,2.2,36000,2.3,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:39:42,2.25,2.25,18000,2.35,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:03,2.25,2.25,27000,2.35,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:10,2.25,2.3,9000,2.4,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:16,2.25,2.25,27000,2.4,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:22,2.25,2.25,27000,2.35,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:33,2.25,2.25,27000,2.35,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:40:44,2.25,2.25,27000,2.4,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:41:12,2.25,2.3,9000,2.4,54000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:41:42,2.25,2.3,27000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:00,2.25,2.3,27000,2.4,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:09,2.25,2.3,27000,2.4,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:15,2.25,2.3,18000,2.4,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:22,2.25,2.3,27000,2.4,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:28,2.25,2.3,27000,2.4,9000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:35,2.25,2.3,27000,2.45,45000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:42,2.25,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:42:49,2.25,2.3,27000,2.4,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:43:17,2.25,2.3,27000,2.45,36000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:43:22,2.25,2.3,27000,2.4,18000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:43:28,2.25,2.3,27000,2.4,27000,0,108000
NCC30Jan2057.5CE.NFO,07/01/2020,09:43:48,2.4,2.3,45000,2.4,9000,9000,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:43:54,2.4,2.35,9000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:44:05,2.4,2.35,18000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:44:11,2.4,2.35,36000,2.45,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:44:17,2.4,2.35,18000,2.45,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:44:37,2.4,2.35,18000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:12,2.4,2.4,45000,2.5,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:13,2.4,2.4,54000,2.5,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:18,2.4,2.4,54000,2.55,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:23,2.4,2.4,54000,2.5,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:25,2.4,2.4,54000,2.55,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:39,2.4,2.4,63000,2.55,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:40,2.4,2.45,36000,2.55,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:43,2.4,2.4,63000,2.55,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:45:59,2.4,2.4,63000,2.5,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:46:05,2.4,2.4,36000,2.5,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:46:23,2.4,2.4,27000,2.5,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:46:35,2.4,2.35,63000,2.45,9000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:47:11,2.4,2.35,63000,2.45,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:47:12,2.4,2.35,63000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:48:17,2.4,2.35,27000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:48:22,2.4,2.35,63000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:48:28,2.4,2.35,27000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:48:33,2.4,2.35,18000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:48:46,2.4,2.3,63000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:13,2.4,2.3,63000,2.45,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:25,2.4,2.3,63000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:30,2.4,2.3,54000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:32,2.4,2.25,27000,2.35,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:33,2.4,2.25,18000,2.35,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:34,2.4,2.25,27000,2.35,27000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:43,2.4,2.25,63000,2.4,18000,0,117000
NCC30Jan2057.5CE.NFO,07/01/2020,09:49:53,2.4,2.3,63000,2.4,18000,0,117000
