Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:27,61.4,60.4,3000,61.8,1500,3000,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:27,61.4,60.4,3000,61.8,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:27,61.4,60.4,3000,61.8,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:27,61.4,60.4,3000,61.8,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:32,61.4,60.1,1500,61.5,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:37,61.4,59.55,7500,61.65,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:42,61.4,59.55,7500,61.55,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:46,61.4,59.55,7500,62,12000,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:50,61.4,59.55,4500,61.35,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:54,61.4,59.55,7500,61.35,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:15:59,61.4,59.55,13500,61.6,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:05,61.4,60.35,3000,61.95,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:11,61.4,59.95,7500,61.95,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:17,61.4,59.95,4500,61.6,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:23,61.4,59.95,4500,62.85,19500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:39,61.4,59.95,3000,62,3000,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:44,61.4,60.15,1500,61.5,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:49,61.4,60.35,1500,61.45,1500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:16:55,61.4,59.6,10500,62.2,4500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:00,61.4,59.6,10500,62.2,7500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:10,61.4,59.6,16500,62.2,4500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:32,61.4,60.2,1500,62.2,4500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:38,61.4,60.4,1500,62.2,10500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:44,61.4,60.25,1500,62.2,13500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:50,61.4,60.05,1500,62.2,13500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:17:55,61.4,59.9,1500,62.2,16500,0,13500
RBLBANK30Jan20400PE.NFO,07/01/2020,11:18:00,61.4,60.1,1500,62.2,16500,0,13500
