Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:33,6,4.7,1000,8.05,1500,500,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:33,6,4.7,1000,8.05,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:33,6,4.7,1000,8.05,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:33,6,4.7,1000,8.05,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:34,6,4.7,1000,8.05,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:35,6,4.7,2000,7.95,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:36,6,5.05,1000,7.95,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:39,6,5.15,1000,7.95,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:46,6,5.15,1000,8.55,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:51,6,5.25,1000,8.55,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:53,6,5.25,1000,8.55,6000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:55,6,5.25,1000,8.55,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:56,6,5.25,1000,8.45,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:15:59,6,5.35,1000,8.45,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:09,6,5.35,1000,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:14,6,5.45,1000,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:33,5.45,5.05,500,8.35,1000,500,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:33,5.45,5.05,500,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:34,5.45,5.05,500,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:38,5.45,5.1,1000,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:48,5.45,5.15,3000,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:51,5.45,5.2,1000,8.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:16:56,5.45,5.2,1000,7.95,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:17:26,5.45,5.3,500,7.95,500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:17:57,5.45,5.3,1000,7.95,500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:18:16,5.45,5.3,2000,7.95,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:18:24,5.45,5.3,2000,7.75,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:18:33,5.45,5.4,1500,7.75,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:18:42,5.45,5.45,1500,7.75,1500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:18:51,5.45,5.75,1500,9.9,2500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:00,5.45,5.75,1500,8.95,500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:09,5.45,5.75,1500,8.45,500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:18,5.45,6,2000,7.7,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:26,5.45,6.05,1000,6.85,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:35,5.45,6.05,2000,6.65,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:43,5.45,6,1000,6.55,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:51,6.55,6,1000,6.5,4000,2000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:51,6.55,6,1000,6.5,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:19:59,6.55,6.05,4000,6.45,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:06,6.55,6,2000,6.45,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:15,6.55,6,1000,6.45,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:22,6.55,6,1000,6.3,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:30,6.2,6.05,2000,6.2,2000,3000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:37,6.2,6.1,2000,6.25,500,2000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:45,6.25,6.1,1500,6.25,3000,1000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:20:53,6.15,6.1,2500,6.2,500,2000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:00,6.2,6.2,1000,6.35,1000,500,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:09,6.35,6.2,2500,6.35,1500,1000,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:17,6.35,6.2,1000,6.4,4000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:24,6.35,6.15,1000,6.35,1000,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:31,6.35,6.25,2500,6.45,5500,0,159500
RELIANCE30Jan201420PE.NFO,07/01/2020,09:21:40,6.35,6.3,2500,6.45,500,0,159500
