Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:43,5.95,6.05,5400,6.25,2700,5400,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:43,5.85,6.05,5400,6.25,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:43,5.95,6.05,5400,6.25,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:43,5.85,6.05,5400,6.25,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:50,5.85,6.1,2700,6.3,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:22:57,5.85,6.05,2700,6.25,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:13,5.85,6.05,2700,6.25,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:19,5.85,6,2700,6.25,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:26,5.85,5.95,2700,6.2,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:32,5.85,5.95,5400,6.2,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:45,5.85,6.1,2700,6.2,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:51,5.85,6,5400,6.25,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:23:58,5.85,5.9,2700,6.1,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:05,5.85,5.85,5400,6.1,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:12,5.85,5.95,2700,6.1,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:26,5.85,5.85,5400,6.1,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:32,5.85,5.9,2700,6.1,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:51,5.85,5.7,2700,5.9,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:24:58,5.85,5.75,2700,5.9,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:25:12,5.85,5.7,2700,5.9,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:25:33,5.85,5.8,5400,5.9,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:25:40,5.85,5.85,2700,5.95,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:26:12,5.8,5.65,2700,5.85,2700,2700,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:26:12,5.8,5.65,2700,5.85,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:26:19,5.8,5.65,5400,5.8,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:26:32,5.8,5.65,2700,5.8,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:26:57,5.8,5.6,2700,5.8,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:27:07,5.8,5.7,2700,5.8,5400,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:27:32,5.8,5.7,2700,5.8,2700,0,167400
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:27:38,5.85,5.75,2700,5.9,2700,5400,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:27:44,5.85,5.7,2700,5.9,2700,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:13,5.65,5.4,5400,5.65,5400,2700,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:13,5.65,5.4,5400,5.65,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:20,5.65,5.45,5400,5.65,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:26,5.65,5.5,2700,5.65,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:32,5.65,5.45,5400,5.65,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:38,5.65,5.45,8100,5.65,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:49,5.5,5.4,2700,5.55,2700,2700,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:49,5.5,5.4,2700,5.55,2700,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:28:55,5.5,5.4,5400,5.6,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:29:01,5.5,5.4,2700,5.5,2700,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:29:14,5.5,5.35,2700,5.5,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:29:26,5.5,5.35,8100,5.55,5400,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:29:32,5.5,5.35,5400,5.45,2700,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:29:45,5.5,5.35,8100,5.45,2700,0,170100
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:01,5.45,5.35,10800,5.55,5400,2700,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:01,5.45,5.35,10800,5.55,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:06,5.45,5.15,5400,5.35,2700,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:12,5.45,5.15,2700,5.3,2700,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:18,5.45,5.2,2700,5.35,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:34,5.2,5.15,2700,5.25,5400,2700,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:34,5.2,5.15,2700,5.25,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:40,5.2,5.05,5400,5.2,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:51,5.2,5,2700,5.1,2700,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:55,5,4.95,2700,5.1,2700,2700,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:30:55,5,4.95,2700,5.1,2700,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:00,5,4.9,5400,5.05,5400,5400,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:06,5,4.85,5400,5,8100,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:12,5,4.8,2700,4.9,2700,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:18,5,4.75,5400,4.95,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:24,5,4.8,2700,4.95,5400,0,172800
TATAGLOBAL30Jan20310PE.NFO,07/01/2020,09:31:30,5,4.85,2700,5,8100,0,172800
