Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
VEDL27Feb20150PE.NFO,07/01/2020,11:00:06,6.5,6.2,3500,6.65,7000,3500,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:06,6.5,6.2,3500,6.65,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:06,6.5,6.2,3500,6.65,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:06,6.5,6.2,3500,6.65,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:13,6.5,6.2,14000,6.65,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:20,6.5,6.25,7000,6.65,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:00:33,6.5,6.3,10500,6.65,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:01:01,6.5,6.35,7000,6.7,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:01:09,6.5,6.4,7000,6.75,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:01:16,6.5,6.45,3500,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:01:38,6.5,6.45,7000,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:01:46,6.5,6.4,3500,6.8,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:01,6.5,6.4,10500,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:08,6.5,6.4,7000,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:15,6.5,6.4,10500,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:22,6.5,6.45,3500,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:36,6.5,6.45,7000,6.8,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:02:55,6.5,6.45,7000,6.85,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:03:15,6.5,6.5,3500,6.85,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:03:40,6.5,6.5,7000,6.85,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:03:47,6.5,6.5,10500,6.9,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:03:54,6.5,6.5,7000,6.9,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:00,6.5,6.5,7000,6.9,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:07,6.5,6.5,7000,6.9,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:20,6.5,6.5,10500,6.9,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:26,6.5,6.55,3500,6.9,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:39,6.5,6.6,3500,7,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:47,6.5,6.6,3500,7,3500,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:04:54,6.5,6.6,3500,7,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:05:34,6.5,6.55,3500,7,7000,0,80500
VEDL27Feb20150PE.NFO,07/01/2020,11:05:40,6.5,6.55,3500,6.9,3500,0,80500
