Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
VOLTAS30Jan20670CE.NFO,07/01/2020,09:15:44,13,12.75,11000,14.5,1000,1000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:15:44,13,12.75,11000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:15:44,13,12.75,11000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:15:44,13,12.75,11000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:15:57,13,12.7,9000,14.2,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:09,13,13.15,7000,14.3,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:20,13,13.2,3000,14.65,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:31,13,13.25,5000,14.55,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:41,13,13.45,1000,14.25,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:51,14.3,14.05,1000,14.75,1000,2000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:16:51,14.3,14.05,1000,14.75,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:01,14.3,14.2,1000,14.75,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:09,14.3,14.1,2000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:19,14.3,14.15,1000,14.8,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:29,14.75,13.8,1000,14.5,2000,2000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:29,14.75,13.8,1000,14.5,2000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:40,14.75,13.95,2000,14.75,2000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:17:50,14.75,13.75,2000,14.75,3000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:00,14.75,13.65,1000,14.75,3000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:10,14.75,13.75,2000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:19,14.75,13.65,2000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:28,14.75,13.65,1000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:36,14.75,13.55,1000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:46,14.75,13.8,1000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:18:55,14.75,13.65,2000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:04,14.75,13.65,3000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:12,14.75,13.55,2000,14.35,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:21,14.75,13.9,1000,14.7,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:29,14.75,13.7,1000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:38,14.75,13.95,1000,14.7,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:19:46,14.75,13.85,1000,14.7,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:02,14.75,13.9,1000,14.7,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:10,13.9,13.95,1000,14.7,1000,1000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:18,13.9,13.9,1000,14.7,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:25,13.9,13.7,1000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:48,13.9,13.6,1000,14.45,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:20:56,13.9,13.65,2000,14.7,1000,1000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:03,13.9,13.65,1000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:20,13.9,13.5,1000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:27,13.9,13.65,1000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:34,13.9,13.65,1000,14.4,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:43,13.65,13.2,2000,13.8,1000,1000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:51,13.65,13.2,1000,13.8,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:21:59,13.65,13.35,1000,13.8,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:06,13.8,13.5,1000,14.6,1000,1000,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:15,13.8,13.3,2000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:23,13.8,13.3,2000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:30,13.8,13.25,1000,14.4,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:37,13.8,13.3,1000,14.4,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:44,13.8,13.1,2000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:51,13.8,13.2,2000,14.5,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:22:59,13.8,13.3,1000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:23:06,13.8,13.55,1000,14.6,1000,0,90000
VOLTAS30Jan20670CE.NFO,07/01/2020,09:23:34,13.8,13.55,2000,14.5,1000,0,90000
